5.3,2.0606,3.58
5.6,2.4179,3.99
5.1,0.36755,3.93
5.2,2.3877,3.7
5.5,0.22987,2.94
6.3,2.5602,2.3
6.8,0.8051,2
7,-0.13407,1.73
6.8,1.5658,1.68
6.2,0.57394,2.4
5.6,1.5575,2.46
5.5,1.4985,2.61
5.6,1.1499,2.85
5.5,0.96232,2.92
5.8,1.2751,2.97
5.7,0.73431,2.96
5.5,2.4423,3.33
5.6,1.0793,3.45
5.5,1.6458,3.46
5.2,0.6461,3.49
5,0.90279,3.46
5,1.838,3.58
4.9,1.2419,3.97
4.7,2.5486,4.08
4.4,1.1796,4.07
4.1,2.1095,4.17
3.9,3.7243,4.56
3.8,3.6034,4.91
3.8,3.4486,5.41
3.7,3.2489,5.56
3.8,1.0205,4.82
3.8,2.4193,3.99
3.8,3.996,3.89
3.9,4.3583,4.17
3.7,3.9138,4.79
3.6,3.8759,5.98
3.5,5.3731,5.94
3.4,4.9182,5.92
3.4,4.8696,6.57
3.4,6.2629,8.33
3.6,5.4522,8.98
3.6,6.0942,8.94
4.2,6.3493,8.57
4.8,5.557,7.88
5.2,4.1202,6.7
5.8,5.7687,5.57
5.9,3.3496,3.86
5.9,3.6594,4.56
6,3.9506,5.47
5.9,2.9376,4.75
5.8,3.2357,3.54
5.7,2.5756,4.3
5.6,3.1892,4.74
5.4,4.1187,5.14
4.9,6.239,6.54
4.9,8.2794,7.82
4.8,7.817,10.56
4.8,9.9903,10
5.1,11.731,9.32
5.2,10.574,11.25
5.6,11.095,12.09
6.6,12.103,9.35
8.3,8.4591,6.3
8.9,4.7879,5.42
8.5,7.9432,6.16
8.3,7.3039,5.41
7.7,4.5554,4.83
7.6,3.5619,5.2
7.7,6.3326,5.28
7.8,5.7731,4.87
7.5,7.2752,4.66
7.1,6.9195,5.16
6.9,5.5005,5.82
6.7,5.8521,6.51
6.3,6.8226,6.76
6,8.998,7.28
6,9.2005,8.1
5.9,9.1892,9.58
5.9,9.9493,10.07
5.7,12.519,10.18
5.9,12.682,10.95
6,12.466,13.58
6.3,15.479,15.05
7.3,13.275,12.69
7.7,7.436,9.84
7.4,11.062,15.85
7.4,10.91,16.57
7.4,8.2569,17.78
7.4,10.988,17.58
8.2,6.4506,13.59
8.8,3.5378,14.23
9.4,5.7388,14.51
9.9,6.8845,11.01
10.7,1.2272,9.29
10.4,0.27356,8.65
10.1,4.598,8.8
9.4,3.8829,9.46
8.5,3.9762,9.43
7.9,5.6298,9.69
7.4,3.7548,10.56
7.4,3.4632,11.39
7.3,3.4335,9.27
7.2,3.6566,8.48
7.3,3.6197,7.92
7.2,2.4803,7.9
7,4.0572,8.1
7,2.0753,7.83
7.2,-1.9543,6.92
7,2.4395,6.21
6.8,2.787,6.27
6.6,4.7979,6.22
6.3,4.5076,6.65
6,4.2229,6.84
5.8,3.7143,6.92
5.7,3.1093,6.66
5.5,4.5646,7.16
5.5,4.846,7.98
5.3,4.3461,8.47
5.2,4.5197,9.44
5.2,6.4119,9.73
5.2,3.1164,9.08
5.4,4.0469,8.61
5.3,6.8249,8.25
5.3,3.9389,8.24
5.7,6.849,8.16
6.1,6.7367,7.74
6.6,2.9792,6.43
6.8,2.3674,5.86
6.9,3.0364,5.64
7.1,3.304,4.82
7.4,2.7033,4.02
7.6,3.0632,3.77
7.6,3.0428,3.26
7.4,3.4876,3.04
7.1,2.9015,3.04
7.1,2.8778,3
6.8,1.8472,3.06
6.6,3.302,2.99
6.6,2.0036,3.21
6.2,2.2649,3.94
6,3.6892,4.49
5.6,2.3223,5.17
5.5,2.9272,5.81
5.7,3.2558,6.02
5.7,2.012,5.8
5.6,2.1738,5.72
5.5,3.5419,5.36
5.5,3.4238,5.24
5.3,2.2952,5.31
5.3,3.4611,5.28
5.2,2.4279,5.28
5,0.91855,5.52
4.9,1.995,5.53
4.7,2.1509,5.51
4.6,0.82307,5.52
4.4,1.3139,5.5
4.5,2.0473,5.53
4.4,1.8711,4.86
4.3,1.4596,4.73
4.3,2.9852,4.75
4.2,2.9607,5.09
4.1,2.9389,5.31
4,3.9394,5.68
3.9,3.1224,6.27
4,3.6396,6.52
3.9,2.8408,6.47
4.2,3.8089,5.59
4.4,2.7941,4.33
4.8,1.1275,3.5
5.5,-0.29961,2.13
5.7,1.2757,1.73
5.8,3.1326,1.75
5.7,2.1473,1.74
5.9,2.3585,1.44
5.9,4.0936,1.25
6.1,-0.65496,1.25
6.1,2.9736,1.02
5.8,1.5153,1
5.7,3.3714,1
5.6,3.1307,1.01
5.4,2.5428,1.43
5.4,4.2714,1.95
5.3,2.0158,2.47
5.1,2.6941,2.94
5,6.0124,3.46
5,3.7121,3.98
4.7,2.0789,4.46
4.6,3.5934,4.91
4.6,3.7584,5.25
4.4,-1.6454,5.25
4.5,3.9031,5.26
4.5,4.5048,5.25
4.7,2.5241,5.07
4.8,4.8774,4.5
5,4.3094,3.18
5.3,5.1702,2.09
