1.714570	6	2.820
1.395760	5.2	2.950
0.973090	5.1	3.200
0.890780	5.7	4.050
1.096410	5.2	4.350
1.449000	5.2	3.230
1.594950	5.5	2.300
1.468330	6.1	2.300
1.246950	6.6	2.240
1.109310	7	2.290
1.038700	7	2.240
1.082950	6.5	2.300
1.458100	5.8	2.720
1.393790	5.6	2.730
1.323760	5.4	2.920
1.300580	5.4	2.740
0.934840	5.7	2.910
0.984540	5.7	2.900
0.940470	5.6	3.180
1.376250	5.5	3.450
1.446870	5.6	3.520
1.508390	5.3	3.470
1.707360	4.9	3.460
1.453240	5.1	3.570
1.666970	4.9	3.810
1.843880	4.8	3.930
1.818590	4.4	3.840
1.962280	4.2	4.030
2.108740	4	4.590
2.526690	3.8	4.620
3.226520	3.8	4.800
3.514330	3.7	5.350
3.312190	3.9	4.720
3.006770	3.8	3.840
2.936760	3.8	4.210
3.131250	4	4.560
3.786210	3.7	5.000
4.304790	3.5	5.380
4.308650	3.7	5.310
4.624400	3.4	5.350
4.570310	3.4	6.140
4.825750	3.4	6.110
5.294310	3.5	7.000
5.177040	3.7	7.000
5.580270	3.9	7.870
5.662990	4.6	6.510
4.993920	5	6.450
4.982190	5.5	5.910
5.059880	5.9	4.440
4.994900	5.9	3.860
5.215760	6	5.400
4.706470	5.8	4.460
4.770450	5.8	3.380
4.031530	5.7	3.710
3.991200	5.6	3.980
4.535840	5.6	4.740
4.160370	4.9	5.410
5.143700	5	6.260
6.161980	4.8	8.010
6.844580	4.6	7.220
7.595100	5.1	7.770
8.450790	5.1	8.330
9.503640	5.5	7.550
10.589310	6	7.460
11.007910	8.1	6.260
10.104790	8.8	5.610
8.948980	8.6	6.130
7.645370	8.4	5.960
6.391360	7.9	4.870
5.918010	7.7	4.860
5.408090	7.8	5.230
5.476180	7.7	4.920
6.032780	7.5	4.620
6.428210	7.2	4.540
6.269650	6.9	5.190
6.638780	6.8	6.160
6.481480	6.4	6.440
6.886630	6.1	6.290
7.351400	6.2	7.010
7.285870	5.8	7.990
7.574430	5.9	9.350
8.245630	5.8	9.460
8.775400	5.7	9.240
8.650920	6	11.700
9.021220	6.3	12.000
8.746790	6.9	13.200
8.869600	7.8	8.060
9.691490	7.5	11.620
10.196380	7.5	15.020
9.838980	7.2	13.690
9.312680	7.2	14.950
8.307320	7.9	13.540
7.020530	8.6	12.280
6.321030	9.3	12.700
5.937190	9.8	11.350
5.160630	10.4	7.710
4.602390	10.4	7.860
4.094570	10.2	8.210
3.695670	9.4	9.080
3.365020	8.8	8.640
3.803500	8	8.900
3.948930	7.7	9.690
3.718120	7.5	10.120
3.594800	7.4	9.740
3.468140	7.3	7.760
3.168480	7.3	7.950
2.773980	7.4	7.080
2.784240	7.1	7.160
2.164700	6.7	7.070
2.106400	7.1	6.060
2.273830	7	5.830
2.282010	7	5.180
2.597240	6.6	5.430
2.629020	6.3	5.640
2.798700	6.1	5.690
2.872320	6	6.130
2.897070	5.7	5.810
3.317690	5.4	5.910
3.699010	5.4	6.730
3.723740	5.4	7.350
4.012760	5.4	8.270
4.015940	5.2	8.650
3.595960	5.2	7.880
3.536600	5.3	7.640
3.602730	5.4	7.640
3.813650	5.4	7.770
3.995990	5.5	7.620
4.055400	5.9	7.170
4.044790	6.4	6.220
3.509980	6.7	5.650
3.329230	6.8	5.580
3.097550	7	4.990
2.505200	7.3	3.800
2.405990	7.4	3.750
2.144830	7.7	3.210
2.139520	7.3	2.860
2.316820	7.3	3.000
2.320450	7.1	2.870
2.298450	6.9	3.040
2.308430	6.8	3.020
2.133240	6.6	2.980
2.000230	6.4	3.680
2.212940	6.1	4.330
2.149640	5.8	4.950
2.179110	5.6	5.710
2.117750	5.8	5.650
1.943000	5.7	5.420
1.958180	5.5	5.280
1.964380	5.6	5.000
1.959520	5.6	4.950
1.800860	5.5	5.150
1.851550	5.2	4.990
1.849390	5.3	5.030
1.651740	5.1	5.160
1.684920	4.9	5.050
1.478030	4.7	4.970
1.088850	4.6	5.040
1.095520	4.3	4.950
1.115830	4.5	4.960
1.135150	4.5	3.960
1.289430	4.3	4.340
1.480530	4.3	4.290
1.462730	4.3	4.550
1.545380	4.1	4.860
2.043610	4	5.320
2.120320	3.8	5.660
2.291530	4	5.960
2.269590	3.9	6.110
2.175860	4.2	5.150
2.513410	4.4	3.870
2.409760	4.6	3.510
2.508290	5.3	2.160
2.059560	5.7	1.650
1.648870	5.9	1.720
1.609930	5.8	1.680
1.662940	5.7	1.580
2.081720	5.8	1.170
2.043530	6	1.130
2.188290	6.2	0.900
2.176210	6	0.920
2.318300	5.7	0.880
2.937900	5.6	0.940
2.984680	5.5	1.330
3.247500	5.5	1.760
3.282640	5.2	2.330
2.993280	5.1	2.780
3.289830	5	3.220
3.359510	5	3.710
3.249910	4.7	4.240
3.469220	4.7	4.600
3.192980	4.7	4.950
2.738900	4.4	4.920
